Arguments count: 1
Argument      0: ./run-monarch.py
----------------------------------------
2000 households, 0 dependent tasks, 10 fully flexible tasks, 0 semi-flexible tasks, 0 fixed tasks, 1 penalty weight. 
----------------------------------------
0. The community is created. 
0. Aggregator is created. 
13. Best step size 0.003, 14 iterations, cost 997007356.8, using ogsa_fw
14. Best step size 0.006, 25 iterations, cost 995922347.89, using ogsa_fw
15. Best step size 0.008, 37 iterations, cost 994724361.64, using ogsa_fw
16. Best step size 0.002, 14 iterations, cost 994409380.47, using ogsa_fw
17. Best step size 0.002, 11 iterations, cost 994120387.33, using ogsa_fw
18. Best step size 0.001, 14 iterations, cost 993989192.46, using ogsa_fw
19. Best step size 0.001, 7 iterations, cost 993854869.25, using ogsa_fw
20. Best step size 0.001, 10 iterations, cost 993692074.0, using ogsa_fw
21. Best step size 0.001, 3 iterations, cost 993644356.14, using ogsa_fw
22. Best step size 0.001, 7 iterations, cost 993544811.79, using ogsa_fw
23. Best step size 0.0, 3 iterations, cost 993513920.75, using ogsa_fw
24. Best step size 0.0, 2 iterations, cost 993504420.73, using ogsa_fw
25. Best step size 0.006, 20 iterations, cost 993250853.27, using ogsa_fw
26. Best step size 0.0, 3 iterations, cost 993215819.22, using ogsa_fw
27. Best step size 0.001, 5 iterations, cost 993156795.96, using ogsa_fw
28. Best step size 0.002, 12 iterations, cost 993069988.1, using ogsa_fw
29. Best step size 0.0, 2 iterations, cost 993038554.8, using ogsa_fw
30. Best step size 0.001, 9 iterations, cost 992998749.59, using ogsa_fw
31. Best step size 0.001, 10 iterations, cost 992971469.58, using ogsa_fw
32. Best step size 0.001, 8 iterations, cost 992955782.85, using ogsa_fw
33. Best step size 0.0, 10 iterations, cost 992937223.19, using ogsa_fw
34. Best step size 0.0, 8 iterations, cost 992930404.36, using ogsa_fw
35. Best step size 0.001, 12 iterations, cost 992918213.86, using ogsa_fw
36. Best step size 0.001, 10 iterations, cost 992901535.72, using ogsa_fw
37. Best step size 0.0, 10 iterations, cost 992884211.07, using ogsa_fw
38. Best step size 0.0, 8 iterations, cost 992874600.82, using ogsa_fw
39. Best step size 0.0, 10 iterations, cost 992864460.98, using ogsa_fw
