,Unnamed: 0,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
85,79,5000,1,9,10,0,0,ogsa_fw,15,1.15,1.01,3854562.0,3413675.99,161455373.0,0.11,0.14,0.008191666666666667,4.815495833333333,73.0,1.0,
86,80,5000,1,0,10,0,0,minizinc_fw,21,1.19,1.1,3978759.0,3684786.34,160629046.0,0.07,0.11,0.017592307692307692,4590.700761538461,74.0,0.0,
87,81,5000,1,0,10,0,0,ogsa_fw,21,1.19,1.04,3978759.0,3493502.9,160629046.0,0.12,0.14,0.006125925925925924,4.632344444444446,75.0,1.0,
88,82,5000,1,9,10,0,0,minizinc_fw,10,1.25,1.15,4247562.0,3877919.88,162456915.0,0.09,0.08,0.01972,5189.3499900000015,76.0,0.0,
89,83,5000,1,9,10,0,0,ogsa_fw,10,1.25,1.03,4247562.0,3486434.95,162456915.0,0.18,0.1,0.0075133333333333345,5.08389,77.0,1.0,
90,84,5000,1,3,10,0,0,minizinc_fw,18,1.2,1.1,4026422.0,3687077.4,160662785.0,0.08,0.11,0.0181,6642.14996,78.0,0.0,
91,85,5000,1,3,10,0,0,ogsa_fw,18,1.2,1.03,4026422.0,3447785.54,160662785.0,0.14,0.14,0.007996296296296295,4.6959888888888885,79.0,1.0,
92,86,5000,1,6,10,0,0,minizinc_fw,14,1.2,1.08,3994580.0,3590346.49,159713784.0,0.1,0.1,0.017194117647058825,5438.268811764707,0.0,,
93,87,5000,1,6,10,0,0,ogsa_fw,14,1.2,1.03,3994580.0,3423787.25,159713784.0,0.14,0.12,0.0067275862068965535,5.063531034482762,1.0,,
94,88,5000,1,9,10,0,0,minizinc_fw,20,1.2,1.12,4037331.0,3764453.44,161599524.0,0.07,0.11,0.02335,7272.223283333333,0.0,,
95,89,5000,1,9,10,0,0,ogsa_fw,20,1.2,1.03,4037331.0,3454525.68,161599524.0,0.14,0.13,0.007351724137931034,4.403541379310345,1.0,,
96,90,5000,1,6,10,0,0,minizinc_fw,9,1.27,1.18,4264142.0,3963805.24,161350720.0,0.07,0.07,0.0256,5378.062475,0.0,,
97,91,5000,1,6,10,0,0,ogsa_fw,9,1.27,1.08,4264142.0,3624129.13,161350720.0,0.15,0.09,0.00913333333333333,4.4694370370370375,1.0,,
98,92,5000,1,3,10,0,0,minizinc_fw,8,1.18,1.1,4014031.0,3763916.31,163810593.0,0.06,0.11,0.017518181818181818,4362.1509,0.0,,
99,93,5000,1,3,10,0,0,ogsa_fw,8,1.18,1.02,4014031.0,3496384.28,163810593.0,0.13,0.13,0.005665517241379309,4.6672551724137925,1.0,,
100,94,5000,1,1,10,0,0,minizinc_fw,7,1.15,1.08,3940537.0,3698044.82,164285749.0,0.06,0.13,0.01831875,5622.9155875,0.0,,
101,95,5000,1,1,10,0,0,ogsa_fw,7,1.15,1.03,3940537.0,3520829.97,164285749.0,0.11,0.15,0.0064360000000000025,4.410256,1.0,,
102,96,5000,1,6,10,0,0,minizinc_fw,19,1.18,1.12,3935130.0,3745785.64,160491435.0,0.05,0.13,0.045239999999999995,4449.259990000001,0.0,,
103,97,5000,1,6,10,0,0,ogsa_fw,19,1.18,1.02,3935130.0,3417404.72,160491435.0,0.13,0.15,0.006831999999999998,4.708560000000001,1.0,,
104,98,5000,1,3,10,0,0,minizinc_fw,23,1.22,1.11,4075016.0,3716666.96,160059619.0,0.09,0.09,0.03005333333333333,4781.366666666666,0.0,,
105,99,5000,1,3,10,0,0,ogsa_fw,23,1.22,1.04,4075016.0,3475999.23,160059619.0,0.15,0.11,0.006862162162162164,4.638705405405406,1.0,,
106,100,5000,1,6,10,0,0,minizinc_fw,24,1.21,1.13,4066352.0,3810322.23,161184526.0,0.06,0.09,0.018883333333333332,5749.814966666666,0.0,,
107,101,5000,1,6,10,0,0,ogsa_fw,24,1.21,1.04,4066352.0,3485523.39,161184526.0,0.14,0.13,0.008808695652173914,4.434613043478262,1.0,,
108,102,5000,1,3,10,0,0,minizinc_fw,13,1.24,1.16,4142552.0,3893392.96,161004077.0,0.06,0.07,0.017225,5550.3562375,0.0,,
109,103,5000,1,3,10,0,0,ogsa_fw,13,1.24,1.08,4142552.0,3625327.89,161004077.0,0.12,0.1,0.006850000000000003,4.5555666666666665,1.0,,
110,104,5000,1,1,10,0,0,minizinc_fw,22,1.2,1.13,4087782.0,3851031.99,162940010.0,0.06,0.1,0.017720000000000003,5096.57998,0.0,,
111,105,5000,1,1,10,0,0,ogsa_fw,22,1.2,1.04,4087782.0,3527353.88,162940010.0,0.14,0.12,0.006840740740740741,4.955996296296296,1.0,,
112,106,5000,1,1,10,0,0,minizinc_fw,17,1.24,1.17,4147771.0,3941437.74,161104483.0,0.05,0.06,0.02004285714285714,4258.272857142857,0.0,,
113,107,5000,1,1,10,0,0,ogsa_fw,17,1.24,1.09,4147771.0,3658842.94,161104483.0,0.12,0.09,0.007342307692307694,4.375403846153846,1.0,,
114,108,5000,1,9,10,0,0,minizinc_fw,25,1.2,1.15,4037655.0,3852775.57,161131015.0,0.05,0.09,0.0188625,5839.737450000001,0.0,,
115,109,5000,1,9,10,0,0,ogsa_fw,25,1.2,1.04,4037655.0,3489079.13,161131015.0,0.14,0.12,0.008004347826086956,4.9906826086956535,1.0,,
116,110,5000,1,0,10,0,0,minizinc_fw,11,1.18,1.11,4066320.0,3795073.93,164724233.0,0.07,0.1,0.016554545454545454,5192.387254545455,0.0,,
117,111,5000,1,0,10,0,0,ogsa_fw,11,1.18,1.05,4066320.0,3613509.19,164724233.0,0.11,0.13,0.00595,4.938350000000002,1.0,,
118,112,5000,1,9,10,0,0,minizinc_fw,15,1.15,1.07,3854562.0,3613897.81,161455373.0,0.06,0.13,0.017116666666666662,5246.834975,0.0,,
119,113,5000,1,9,10,0,0,ogsa_fw,15,1.15,1.01,3854562.0,3413675.99,161455373.0,0.11,0.14,0.008191666666666667,4.815495833333333,1.0,,
120,114,5000,1,0,10,0,0,minizinc_fw,21,1.19,1.1,3978759.0,3684786.34,160629046.0,0.07,0.11,0.017592307692307692,4590.700761538461,0.0,,
