,,,,Value,Value,Value
,,,,min,median,max
#Households,Repeat,Demand Profile,Result,,,
10000.0,2.0,Preferred,PAR,1.2,1.2,1.2
10000.0,2.0,Preferred,Demand Reduction,0.0,0.0,0.0
10000.0,2.0,Preferred,Cost Reduction,0.0,0.0,0.0
10000.0,2.0,Optimised,PAR,1.04,1.04,1.04
10000.0,2.0,Optimised,Demand Reduction,0.13,0.13,0.13
10000.0,2.0,Optimised,Cost Reduction,0.12,0.12,0.12
10000.0,2.0,Actual,PAR,1.04,1.05,1.05
10000.0,2.0,Actual,PAR Distance,0.0,0.010000000000000009,0.010000000000000009
10000.0,2.0,Actual,Demand Reduction,0.12,0.12,0.13
10000.0,2.0,Actual,Demand Reduction Distance,0.0,0.010000000000000009,0.010000000000000009
10000.0,2.0,Actual,Cost Reduction,0.12,0.12,0.12
10000.0,2.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
50.0,3.0,Preferred,PAR,3.19,3.19,3.19
50.0,3.0,Preferred,Demand Reduction,0.0,0.0,0.0
50.0,3.0,Preferred,Cost Reduction,0.0,0.0,0.0
50.0,3.0,Optimised,PAR,1.65,1.65,1.65
50.0,3.0,Optimised,Demand Reduction,0.48,0.48,0.48
50.0,3.0,Optimised,Cost Reduction,0.07,0.07,0.07
50.0,3.0,Actual,PAR,1.89,2.06,2.44
50.0,3.0,Actual,PAR Distance,0.24,0.41000000000000014,0.79
50.0,3.0,Actual,Demand Reduction,0.24,0.36,0.41
50.0,3.0,Actual,Demand Reduction Distance,0.07,0.12,0.24
50.0,3.0,Actual,Cost Reduction,0.07,0.07,0.07
50.0,3.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
100.0,3.0,Preferred,PAR,1.95,1.95,1.95
100.0,3.0,Preferred,Demand Reduction,0.0,0.0,0.0
100.0,3.0,Preferred,Cost Reduction,0.0,0.0,0.0
100.0,3.0,Optimised,PAR,1.02,1.02,1.02
100.0,3.0,Optimised,Demand Reduction,0.48,0.48,0.48
100.0,3.0,Optimised,Cost Reduction,0.07,0.07,0.07
100.0,3.0,Actual,PAR,1.47,1.64,1.79
100.0,3.0,Actual,PAR Distance,0.44999999999999996,0.6199999999999999,0.77
100.0,3.0,Actual,Demand Reduction,0.08,0.16,0.24
100.0,3.0,Actual,Demand Reduction Distance,0.24,0.31999999999999995,0.39999999999999997
100.0,3.0,Actual,Cost Reduction,0.05,0.06,0.07
100.0,3.0,Actual,Cost Reduction Distance,0.0,0.010000000000000009,0.020000000000000004
500.0,3.0,Preferred,PAR,1.38,1.38,1.38
500.0,3.0,Preferred,Demand Reduction,0.0,0.0,0.0
500.0,3.0,Preferred,Cost Reduction,0.0,0.0,0.0
500.0,3.0,Optimised,PAR,1.09,1.09,1.09
500.0,3.0,Optimised,Demand Reduction,0.21,0.21,0.21
500.0,3.0,Optimised,Cost Reduction,0.07,0.07,0.07
500.0,3.0,Actual,PAR,1.15,1.2,1.39
500.0,3.0,Actual,PAR Distance,0.05999999999999983,0.10999999999999988,0.2999999999999998
500.0,3.0,Actual,Demand Reduction,-0.0,0.13,0.17
500.0,3.0,Actual,Demand Reduction Distance,0.03999999999999998,0.07999999999999999,0.21
500.0,3.0,Actual,Cost Reduction,0.0,0.06,0.06
500.0,3.0,Actual,Cost Reduction Distance,0.010000000000000009,0.010000000000000009,0.07
1000.0,3.0,Preferred,PAR,1.32,1.32,1.32
1000.0,3.0,Preferred,Demand Reduction,0.0,0.0,0.0
1000.0,3.0,Preferred,Cost Reduction,0.0,0.0,0.0
1000.0,3.0,Optimised,PAR,1.05,1.05,1.05
1000.0,3.0,Optimised,Demand Reduction,0.2,0.2,0.2
1000.0,3.0,Optimised,Cost Reduction,0.09,0.09,0.09
1000.0,3.0,Actual,PAR,1.1,1.17,1.19
1000.0,3.0,Actual,PAR Distance,0.050000000000000044,0.11999999999999988,0.1399999999999999
1000.0,3.0,Actual,Demand Reduction,0.1,0.11,0.16
1000.0,3.0,Actual,Demand Reduction Distance,0.04000000000000001,0.09000000000000001,0.1
1000.0,3.0,Actual,Cost Reduction,0.07,0.07,0.08
1000.0,3.0,Actual,Cost Reduction Distance,0.009999999999999995,0.01999999999999999,0.01999999999999999
2000.0,3.0,Preferred,PAR,1.29,1.29,1.29
2000.0,3.0,Preferred,Demand Reduction,0.0,0.0,0.0
2000.0,3.0,Preferred,Cost Reduction,0.0,0.0,0.0
2000.0,3.0,Optimised,PAR,1.08,1.08,1.08
2000.0,3.0,Optimised,Demand Reduction,0.16,0.16,0.16
2000.0,3.0,Optimised,Cost Reduction,0.08,0.08,0.08
2000.0,3.0,Actual,PAR,1.08,1.12,1.18
2000.0,3.0,Actual,PAR Distance,0.0,0.040000000000000036,0.09999999999999987
2000.0,3.0,Actual,Demand Reduction,0.08,0.13,0.16
2000.0,3.0,Actual,Demand Reduction Distance,0.0,0.03,0.08
2000.0,3.0,Actual,Cost Reduction,0.07,0.08,0.08
